"","product","value","quantity","exporter_iso3","importer_iso3","exporter_name","importer_name"
"1",270900,1.582,0.146,"ALB","CHN","Albania","China"
"2",270900,30.745,49.26,"ALB","GRC","Albania","Greece"
"3",270900,10112.894,21533.3,"ALB","ITA","Albania","Italy"
"4",270900,98322.135,224932,"ALB","ESP","Albania","Spain"
"5",270900,96921.278,151384,"DZA","AUS","Algeria","Australia"
"6",270900,113648.754,180448,"DZA","AUT","Algeria","Austria"
"7",270900,47949.106,66515.2,"DZA","BEL","Algeria","Belgium"
"8",270900,760715.198,1049808,"DZA","BRA","Algeria","Brazil"
"9",270900,2696937.925,4124765.945,"DZA","FRA","Algeria","France"
"10",270900,877281.863,1387647,"DZA","DEU","Algeria","Germany"
"11",270900,49682.417,80361.2,"DZA","GRC","Algeria","Greece"
"12",270900,383269.196,612887,"DZA","IDN","Algeria","Indonesia"
"13",270900,627488.438,1018480,"DZA","ITA","Algeria","Italy"
"14",270900,1131637.205,1634336,"DZA","KOR","Algeria","Rep. of Korea"
"15",270900,620703.853,963858,"DZA","LTU","Algeria","Lithuania"
"16",270900,844531.442,1346470,"DZA","NLD","Algeria","Netherlands"
"17",270900,64754.728,108086,"DZA","POL","Algeria","Poland"
"18",270900,1121057.62,1787360,"DZA","PRT","Algeria","Portugal"
"19",270900,832907.171,1199000,"DZA","IND","Algeria","India"
"20",270900,93734.686,133913,"DZA","ZAF","Algeria","South Africa"
"21",270900,1706335.822,2661550.8,"DZA","ESP","Algeria","Spain"
"22",270900,52703.588,95451,"DZA","CHE","Algeria","Switzerland"
"23",270900,753815.87,1135550,"DZA","GBR","Algeria","United Kingdom"
"24",270900,334329.462,628392.963,"DZA","USA","Algeria","USA"
"25",270900,0.275,0.008,"AGO","BEL","Angola","Belgium"
"26",270900,907990.649,1657052.15,"AGO","BRA","Angola","Brazil"
"27",270900,726888.33,8985.21,"AGO","CAN","Angola","Canada"
"28",270900,15334735.156,28721490,"AGO","CHN","Angola","China"
"29",270900,78379.253,982.066,"AGO","HRV","Angola","Croatia"
"30",270900,1652580.432,2515836.421,"AGO","FRA","Angola","France"
"31",270900,111050.492,195933.3,"AGO","DEU","Angola","Germany"
"32",270900,92885.257,1158.7,"AGO","GIB","Angola","Gibraltar"
"33",270900,1694181.307,2735464.998,"AGO","IDN","Angola","Indonesia"
"34",270900,78189.282,950.514,"AGO","ISR","Angola","Israel"
"35",270900,497261.375,915505,"AGO","ITA","Angola","Italy"
"36",270900,382934.234,514375.025,"AGO","MYS","Angola","Malaysia"
"37",270900,587582.402,1093030.002,"AGO","NLD","Angola","Netherlands"
"38",270900,63973.515,126259.994,"AGO","PRT","Angola","Portugal"
"39",270900,3513662.705,4784410.894,"AGO","IND","Angola","India"
"40",270900,596452.733,1125360,"AGO","SGP","Angola","Singapore"
"41",270900,229125.338,2976.45,"AGO","VNM","Angola","Viet Nam"
"42",270900,791114.376,1231437.064,"AGO","ZAF","Angola","South Africa"
"43",270900,2217656.153,3556594.648,"AGO","ESP","Angola","Spain"
"44",270900,232533.907,296366.613,"AGO","THA","Angola","Thailand"
"45",270900,467044.552,712197.555,"AGO","GBR","Angola","United Kingdom"
"46",270900,1601057.889,2800223.272,"AGO","USA","Angola","USA"
"47",270900,0.154,0.005,"ATG","MSR","Antigua and Barbuda","Montserrat"
"48",270900,35524.953,60432.7,"AZE","AUS","Azerbaijan","Australia"
"49",270900,47903.691,113094.566,"AZE","AUT","Azerbaijan","Austria"
"50",270900,0.022,0.005,"AZE","BEL","Azerbaijan","Belgium"
"51",270900,79913.226,108898.761,"AZE","BGR","Azerbaijan","Bulgaria"
"52",270900,981389.031,1498858.29,"AZE","HRV","Azerbaijan","Croatia"
