importer_iso3,canal,RP_ic
ABW,Gibraltar Strait,NA
ABW,Malacca Strait,NA
ABW,Panama Canal,NA
ABW,Strait of Hormuz,NA
ABW,Suez Canal,NA
ABW,Taiwan Strait,NA
AFG,Gibraltar Strait,NA
AFG,Malacca Strait,NA
AFG,Panama Canal,NA
AFG,Strait of Hormuz,NA
AFG,Suez Canal,NA
AFG,Taiwan Strait,NA
AGO,Gibraltar Strait,NA
AGO,Malacca Strait,NA
AGO,Panama Canal,NA
AGO,Strait of Hormuz,NA
AGO,Suez Canal,NA
AGO,Taiwan Strait,NA
AIA,Gibraltar Strait,NA
AIA,Malacca Strait,NA
AIA,Panama Canal,NA
AIA,Strait of Hormuz,NA
AIA,Suez Canal,NA
AIA,Taiwan Strait,NA
ALB,Gibraltar Strait,NA
ALB,Malacca Strait,NA
ALB,Panama Canal,NA
ALB,Strait of Hormuz,NA
ALB,Suez Canal,NA
ALB,Taiwan Strait,NA
AND,Gibraltar Strait,NA
AND,Malacca Strait,NA
AND,Panama Canal,NA
AND,Strait of Hormuz,NA
AND,Suez Canal,NA
AND,Taiwan Strait,NA
ARE,Gibraltar Strait,66.0116450972786
ARE,Malacca Strait,204.85213963356006
ARE,Panama Canal,4.5640589891888785
ARE,Strait of Hormuz,1250.1977618664391
ARE,Suez Canal,100.89074509324834
ARE,Taiwan Strait,134.5878774294607
ARG,Gibraltar Strait,NA
ARG,Malacca Strait,NA
ARG,Panama Canal,NA
ARG,Strait of Hormuz,NA
ARG,Suez Canal,NA
ARG,Taiwan Strait,NA
ARM,Gibraltar Strait,NA
ARM,Malacca Strait,NA
ARM,Panama Canal,NA
ARM,Strait of Hormuz,NA
ARM,Suez Canal,NA
ARM,Taiwan Strait,NA
AUS,Gibraltar Strait,24.944488164827177
AUS,Malacca Strait,33.59500885762156
AUS,Panama Canal,4.978174757248298
AUS,Strait of Hormuz,17.447639369251114
AUS,Suez Canal,35.629128918715956
AUS,Taiwan Strait,155.17078623486663
AUT,Gibraltar Strait,0
AUT,Malacca Strait,0
AUT,Panama Canal,0
AUT,Strait of Hormuz,0
AUT,Suez Canal,0
AUT,Taiwan Strait,0
AZE,Gibraltar Strait,3.532077128614704
AZE,Malacca Strait,0.7345514985545654
AZE,Panama Canal,0.05181862319101016
AZE,Strait of Hormuz,0.7273289505521241
AZE,Suez Canal,4.351309874218173
AZE,Taiwan Strait,0.31941556799036386
BDI,Gibraltar Strait,NA
BDI,Malacca Strait,NA
BDI,Panama Canal,NA
BDI,Strait of Hormuz,NA
BDI,Suez Canal,NA
BDI,Taiwan Strait,NA
BEL,Gibraltar Strait,28.44270533294946
BEL,Malacca Strait,3.614146367808363
BEL,Panama Canal,1.61987767662938
BEL,Strait of Hormuz,4.559904642729293
BEL,Suez Canal,16.43370459949947
BEL,Taiwan Strait,1.278444087378993
BEN,Gibraltar Strait,NA
BEN,Malacca Strait,NA
BEN,Panama Canal,NA
BEN,Strait of Hormuz,NA
BEN,Suez Canal,NA
BEN,Taiwan Strait,NA
BFA,Gibraltar Strait,NA
BFA,Malacca Strait,NA
BFA,Panama Canal,NA
BFA,Strait of Hormuz,NA
BFA,Suez Canal,NA
BFA,Taiwan Strait,NA
BGD,Gibraltar Strait,13.689157187651773
BGD,Malacca Strait,35.747609503236994
BGD,Panama Canal,1.4504593990472943
BGD,Strait of Hormuz,62.81231828795612
BGD,Suez Canal,21.43169813747043
BGD,Taiwan Strait,7.742139923826072
BGR,Gibraltar Strait,17.0326326727572
BGR,Malacca Strait,2.9158393117235515
BGR,Panama Canal,1.3979544768170664
BGR,Strait of Hormuz,1.4440304744159238
BGR,Suez Canal,16.944820649878288
BGR,Taiwan Strait,1.7911256529381299
BHR,Gibraltar Strait,NA
BHR,Malacca Strait,NA
BHR,Panama Canal,NA
BHR,Strait of Hormuz,NA
BHR,Suez Canal,NA
BHR,Taiwan Strait,NA
BHS,Gibraltar Strait,NA
BHS,Malacca Strait,NA
BHS,Panama Canal,NA
BHS,Strait of Hormuz,NA
BHS,Suez Canal,NA
BHS,Taiwan Strait,NA
BIH,Gibraltar Strait,NA
BIH,Malacca Strait,NA
BIH,Panama Canal,NA
BIH,Strait of Hormuz,NA
BIH,Suez Canal,NA
BIH,Taiwan Strait,NA
BLR,Gibraltar Strait,0
BLR,Malacca Strait,0
BLR,Panama Canal,0
BLR,Strait of Hormuz,0
BLR,Suez Canal,0
BLR,Taiwan Strait,0
BLZ,Gibraltar Strait,NA
BLZ,Malacca Strait,NA
BLZ,Panama Canal,NA
BLZ,Strait of Hormuz,NA
BLZ,Suez Canal,NA
BLZ,Taiwan Strait,NA
BOL,Gibraltar Strait,NA
BOL,Malacca Strait,NA
BOL,Panama Canal,NA
BOL,Strait of Hormuz,NA
BOL,Suez Canal,NA
BOL,Taiwan Strait,NA
BRA,Gibraltar Strait,921.4141224586242
BRA,Malacca Strait,122.67138302589771
BRA,Panama Canal,721.7971199765921
BRA,Strait of Hormuz,341.6806391512108
BRA,Suez Canal,373.3272870231778
BRA,Taiwan Strait,365.95715872662475
BRB,Gibraltar Strait,NA
BRB,Malacca Strait,NA
BRB,Panama Canal,NA
