importer_iso3,canal,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,dep_share_sea,oil_v_total,oil_q_total,oil_q_canal,oil_v_canal,dep_oil_share_q,dep_oil_share_v,criticality_oil_tonnes,rerouting_share,Stakes_ic,total_naval_fleet,proximity_score,ability_score,Entity,Year,regime_score,regime_scaled
ABW,Gibraltar Strait,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,10365.758521827507,17894439.868030407,7669.880244801582,2695.8782770259268,14481098.277531983,3413341.590498424,13.665491262793957,0.02380229846976757,21.744,4.611,0.10975239824409827,0.517557177926626,0.02380229846976757,0.023802298469767568,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
ABW,Malacca Strait,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,180.01763528060172,607521.6379926912,180.01751322412474,1.220564769848e-4,607303.1568988884,218.4810938028445,23.00941665945064,4.133642005790443e-4,21.744,4.611,0.0019060223288699732,0.008988191177390739,4.133642005790443e-4,4.133642005790443e-4,NA,0.8,NA,NA,0,NA,NA,NA,NA,NA
ABW,Panama Canal,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,133942.28884939133,226942188.12763157,127004.41123109512,6937.877618296224,178728663.53397015,48213524.593661405,6.157253704042887,0.3075640176455662,21.744,4.611,1.4181776853637056,6.6876719996851905,0.3075640176455662,0.3075640176455662,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
ABW,Strait of Hormuz,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,177.3121771951261,239245.0687924536,155.3840908892989,21.928086305827204,92889.77399882372,146355.2947936299,11.013866712990689,4.0715181190412625e-4,21.744,4.611,0.0018773770046899261,0.008853108998043322,4.0715181190412625e-4,4.071518119041263e-4,NA,0,NA,NA,0,NA,NA,NA,NA,NA
ABW,Suez Canal,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,1580.419811800739,8932919.25934879,1018.0493804952042,562.3704313055346,6991029.47008389,1941889.7892649,12.87404774451186,0.0036290276286875156,21.744,4.611,0.016733446395878135,0.07890957675818133,0.003629027628687516,0.003629027628687515,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
ABW,Taiwan Strait,435494.0147899392,1038821448.2066684,420483.2228976915,962606845.9865367,15010.791892247653,76214602.22013168,693.5685085620298,4839750.233031163,693.5685085620298,0,4839750.233031163,0,30.18175180408299,0.0015926017006148133,21.744,4.611,0.007343486441534904,0.0346295313781685,0.0015926017006148133,0.0015926017006148135,NA,0.8,NA,NA,0,NA,NA,NA,NA,NA
AFG,Gibraltar Strait,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,26983.22834178535,51745114.25686417,24016.4898113404,2966.738530444949,35726962.012215465,16018152.2446487,13.665491262793957,0.006867791577278278,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0,0,0,Afghanistan,2024,0,0
AFG,Malacca Strait,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,1160665.0687206208,593920061.8930167,1129719.534217327,30945.534503293868,476547808.8587031,117372253.03431363,23.00941665945064,0.2954133464696158,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0,0,0,Afghanistan,2024,0,0
AFG,Panama Canal,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,208.61561386161364,927003.6415321288,11.708711967213526,196.9069018944001,42865.47937608712,884138.1621560416,6.157253704042887,5.3097002983473654e-5,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0,0,0,Afghanistan,2024,0,0
AFG,Strait of Hormuz,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,298598.6232173164,444369057.4942534,214431.0059387437,84167.61727857268,394198763.40882,50170294.085433416,11.013866712990689,0.07599954621972005,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,Afghanistan,2024,0,0
AFG,Suez Canal,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,710568.7722526151,442377301.7652653,694377.9405077206,16190.831744894478,413965488.6576826,28411813.107582662,12.87404774451186,0.1808544984810586,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0,0,0,Afghanistan,2024,0,0
AFG,Taiwan Strait,3928952.7118233936,1940796524.5879712,1814450.831846072,1442132061.5675108,2114501.8799773213,498664463.0204605,903721.316561801,446895300.0562173,876770.5290526502,26950.78750915081,334000245.07373625,112895054.98248106,30.18175180408299,0.2300158293690411,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0,0,0,Afghanistan,2024,0,0
AGO,Gibraltar Strait,71387554.29305884,57296027405.181755,6480564.613883667,10855357208.020544,64906989.679175176,46440670197.16121,6763803.108455483,7982720975.313785,2401870.6644170224,4361932.444038461,4490956265.902452,3491764709.411332,13.665491262793957,0.09474765139997438,13.261999999999999,5.131,0.48615019933326853,1.25654335286646,0.09474765139997438,0.09474765139997438,NA,0.4,NA,31,0,31,Angola,2024,1,0.2
AGO,Malacca Strait,71387554.29305884,57296027405.181755,6480564.613883667,10855357208.020544,64906989.679175176,46440670197.16121,2852388.11361052,1922366707.31607,190510.69684928257,2661877.4167612377,354772364.2720064,1567594343.0440638,23.00941665945064,0.039956378137020215,13.261999999999999,5.131,0.20501617622105073,0.5299014868531621,0.039956378137020215,0.039956378137020215,NA,0.8,NA,31,0,31,Angola,2024,1,0.2
AGO,Panama Canal,71387554.29305884,57296027405.181755,6480564.613883667,10855357208.020544,64906989.679175176,46440670197.16121,352897.4741625026,265152289.89378545,32676.880225333975,320220.59393716865,34973961.64305708,230178328.25072837,6.157253704042887,0.004943403337699378,13.261999999999999,5.131,0.02536460252573551,0.06555941506456914,0.004943403337699378,0.004943403337699378,NA,0.4,NA,31,0,31,Angola,2024,1,0.2
AGO,Strait of Hormuz,71387554.29305884,57296027405.181755,6480564.613883667,10855357208.020544,64906989.679175176,46440670197.16121,306966.8095853932,1628365432.2375526,147915.3380741861,159051.47151120706,469973083.5881249,1158392348.6494277,11.013866712990689,0.0043000045683767064,13.261999999999999,5.131,0.02206332344034088,0.05702666058581188,0.0043000045683767064,0.0043000045683767064,NA,0,NA,31,0,31,Angola,2024,1,0.2
